,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
0,Aaron Gordon,0.7903225806451614,62.8,0.5466666666666667,1.6666666666666665,32.8,1.89
1,Aaron Henry,0.5,100.0,1.3333333333333335,0.6666666666666667,0.0,1.0
2,Aaron Holiday,0.43333333333333335,34.8,0.507936507936508,4.0,44.6,4.32
3,Aaron Nesmith,0.7,80.5,0.3157894736842105,2.166666666666667,34.3,0.99
4,Aaron Wiggins,0.5641025641025641,56.1,0.5301204819277109,10.249999999999998,38.4,1.47
5,Abdel Nader,0.6,50.0,0.5,10.5,31.0,1.14
6,Ade Murkey,,0.0,,,0.0,0.0
7,Admiral Schofield,0.5384615384615385,71.4,0.3684210526315789,5.999999999999999,29.5,0.63
8,Ahmad Caver,1.0,100.0,1.0,,0.0,4.5
9,Al Horford,0.5142857142857143,67.8,0.4313725490196079,4.0,44.6,0.64
10,Alec Burks,0.48387096774193544,43.0,0.20512820512820512,1.7714285714285716,37.3,3.06
11,Aleem Ford,0.6,75.0,0.5714285714285715,inf,16.7,0.6
12,Aleksej Pokusevski,0.5405405405405405,53.5,0.5,2.785714285714286,51.3,1.41
13,Alex Caruso,0.7037037037037036,56.7,0.35135135135135137,3.0769230769230766,51.2,2.67
14,Alex Len,0.5641025641025641,77.3,0.7333333333333334,2.9999999999999996,0.0,0.48
15,Alfonzo McKinnie,0.7999999999999999,73.3,0.39999999999999997,1.5,12.5,0.74
16,Alize Johnson,0.6470588235294118,52.9,0.888888888888889,inf,25.0,0.87
17,Alperen Sengun,0.7037037037037036,43.6,0.625,6.8,27.2,1.03
18,Amir Coffey,0.5769230769230769,59.1,0.35555555555555557,2.3846153846153846,33.0,1.66
19,Andre Drummond,0.8070175438596492,59.1,0.8354430379746834,10.0,21.4,0.67
20,Andre Iguodala,0.7692307692307692,62.1,0.44999999999999996,1.6,65.2,1.74
