,Player,Restricted Area Percentage
0,Aaron Gordon,0.7903225806451614
1,Aaron Henry,0.5
2,Aaron Holiday,0.43333333333333335
3,Aaron Nesmith,0.7
4,Aaron Wiggins,0.5641025641025641
5,Abdel Nader,0.6
6,Ade Murkey,
7,Admiral Schofield,0.5384615384615385
8,Ahmad Caver,1.0
9,Al Horford,0.5142857142857143
10,Alec Burks,0.48387096774193544
11,Aleem Ford,0.6
12,Aleksej Pokusevski,0.5405405405405405
13,Alex Caruso,0.7037037037037036
14,Alex Len,0.5641025641025641
15,Alfonzo McKinnie,0.7999999999999999
16,Alize Johnson,0.6470588235294118
17,Alperen Sengun,0.7037037037037036
18,Amir Coffey,0.5769230769230769
19,Andre Drummond,0.8070175438596492
20,Andre Iguodala,0.7692307692307692
21,Andrew Wiggins,0.5
22,Anfernee Simons,0.5
23,Anthony Davis,0.7037037037037036
24,Anthony Edwards,0.76
25,Anthony Gill,0.5
26,Anthony Lamb,
27,Armoni Brooks,0.7142857142857143
28,Arnoldas Kulboka,
29,Austin Reaves,0.6190476190476191
30,Austin Rivers,0.6470588235294118
31,Avery Bradley,0.6428571428571429
32,Ayo Dosunmu,0.7714285714285715
33,BJ Johnson,0.7222222222222222
34,Bam Adebayo,0.537037037037037
35,Ben McLemore,0.8181818181818181
36,Bismack Biyombo,0.6153846153846154
37,Blake Griffin,0.8214285714285714
38,Boban Marjanovic,0.48275862068965514
39,Bobby Portis,0.5555555555555555
40,Bogdan Bogdanovic,0.45945945945945943
41,Bojan Bogdanovic,0.5
42,Bol Bol,0.5
43,Bones Hyland,0.6086956521739131
44,Brad Wanamaker,0.6470588235294118
45,Bradley Beal,0.5050505050505051
46,Brandon Boston Jr.,0.7037037037037036
47,Brandon Clarke,0.609375
48,Brandon Goodwin,0.6086956521739131
49,Brandon Ingram,0.484375
50,Brandon Knight,0.875
51,Brandon Williams,0.6379310344827586
52,Braxton Key,0.75
53,Brodric Thomas,0.7499999999999999
54,Brook Lopez,0.6296296296296295
55,Bruce Brown,0.611111111111111
56,Bruno Fernando,0.7777777777777778
57,Bryn Forbes,0.25
58,Buddy Hield,0.6470588235294118
59,CJ Elleby,0.7142857142857143
60,CJ McCollum,0.4057971014492754
61,CJ Miles,
